[2021-07-03 22:42:33.101] [sharedprocess] [info] Deleted from disk github.copilot /home/piyush/.vscode/extensions/github.copilot-1.1.1899
[2021-07-03 22:43:12.435] [sharedprocess] [info] Starting to clean up unused language packs.
[2021-07-03 22:44:04.647] [sharedprocess] [warning] Resolved variables received without matching request 11
[2021-07-03 22:44:04.854] [sharedprocess] [warning] Resolved variables received without matching request 12
[2021-07-03 22:44:04.890] [sharedprocess] [warning] Resolved variables received without matching request 13
[2021-07-03 22:44:04.988] [sharedprocess] [warning] Resolved variables received without matching request 14
[2021-07-03 22:44:04.988] [sharedprocess] [warning] Resolved variables received without matching request 15
[2021-07-03 22:44:07.097] [sharedprocess] [warning] Resolved variables received without matching request 16
[2021-07-03 22:44:07.107] [sharedprocess] [warning] Resolved variables received without matching request 17
[2021-07-03 22:44:07.107] [sharedprocess] [warning] Resolved variables received without matching request 18
[2021-07-03 22:44:07.108] [sharedprocess] [warning] Resolved variables received without matching request 19
[2021-07-03 22:44:07.108] [sharedprocess] [warning] Resolved variables received without matching request 20
[2021-07-03 22:44:15.762] [sharedprocess] [warning] Resolved variables received without matching request 21
[2021-07-03 22:44:15.856] [sharedprocess] [warning] Resolved variables received without matching request 22
[2021-07-03 22:44:15.892] [sharedprocess] [warning] Resolved variables received without matching request 23
[2021-07-03 22:44:16.050] [sharedprocess] [warning] Resolved variables received without matching request 24
[2021-07-03 22:44:16.051] [sharedprocess] [warning] Resolved variables received without matching request 25
[2021-07-03 22:44:17.776] [sharedprocess] [warning] Resolved variables received without matching request 26
[2021-07-03 22:44:17.780] [sharedprocess] [warning] Resolved variables received without matching request 27
[2021-07-03 22:44:17.781] [sharedprocess] [warning] Resolved variables received without matching request 28
[2021-07-03 22:44:17.781] [sharedprocess] [warning] Resolved variables received without matching request 29
[2021-07-03 22:44:17.782] [sharedprocess] [warning] Resolved variables received without matching request 30
[2021-07-03 22:50:17.543] [sharedprocess] [warning] Resolved variables received without matching request 51
[2021-07-03 22:50:17.544] [sharedprocess] [warning] Resolved variables received without matching request 52
[2021-07-03 22:50:17.546] [sharedprocess] [warning] Resolved variables received without matching request 53
[2021-07-03 22:50:17.546] [sharedprocess] [warning] Resolved variables received without matching request 54
[2021-07-03 22:50:17.547] [sharedprocess] [warning] Resolved variables received without matching request 55
[2021-07-03 22:50:19.533] [sharedprocess] [warning] Resolved variables received without matching request 56
[2021-07-03 22:50:19.539] [sharedprocess] [warning] Resolved variables received without matching request 57
[2021-07-03 22:50:19.547] [sharedprocess] [warning] Resolved variables received without matching request 58
[2021-07-03 22:50:19.557] [sharedprocess] [warning] Resolved variables received without matching request 59
[2021-07-03 22:50:19.567] [sharedprocess] [warning] Resolved variables received without matching request 60
[2021-07-03 22:51:14.684] [sharedprocess] [warning] Resolved variables received without matching request 61
[2021-07-03 22:51:14.685] [sharedprocess] [warning] Resolved variables received without matching request 62
[2021-07-03 22:51:14.685] [sharedprocess] [warning] Resolved variables received without matching request 63
[2021-07-03 22:51:14.686] [sharedprocess] [warning] Resolved variables received without matching request 64
[2021-07-03 22:51:14.686] [sharedprocess] [warning] Resolved variables received without matching request 65
[2021-07-03 22:51:16.648] [sharedprocess] [warning] Resolved variables received without matching request 66
[2021-07-03 22:51:16.652] [sharedprocess] [warning] Resolved variables received without matching request 67
[2021-07-03 22:51:16.655] [sharedprocess] [warning] Resolved variables received without matching request 68
[2021-07-03 22:51:16.658] [sharedprocess] [warning] Resolved variables received without matching request 69
[2021-07-03 22:51:16.662] [sharedprocess] [warning] Resolved variables received without matching request 70
[2021-07-03 22:51:23.668] [sharedprocess] [warning] Resolved variables received without matching request 71
[2021-07-03 22:51:23.668] [sharedprocess] [warning] Resolved variables received without matching request 72
[2021-07-03 22:51:23.669] [sharedprocess] [warning] Resolved variables received without matching request 73
[2021-07-03 22:51:23.669] [sharedprocess] [warning] Resolved variables received without matching request 74
[2021-07-03 22:51:23.670] [sharedprocess] [warning] Resolved variables received without matching request 75
[2021-07-03 22:51:25.636] [sharedprocess] [warning] Resolved variables received without matching request 76
[2021-07-03 22:51:25.638] [sharedprocess] [warning] Resolved variables received without matching request 77
[2021-07-03 22:51:25.641] [sharedprocess] [warning] Resolved variables received without matching request 78
[2021-07-03 22:51:25.645] [sharedprocess] [warning] Resolved variables received without matching request 79
[2021-07-03 22:51:25.654] [sharedprocess] [warning] Resolved variables received without matching request 80
